event_id,effect_id,as_of_date,title,variable,direction,impact,quality,confidence,scale,novelty,adjusted_effect,source_file,source_locator,source_type,source_url,rationale,review_status,review_note
S1-E01,S1-E01-REG,2026-06-10,EU type-approval framework for fully automated vehicles exists,regulation and road access,accelerator,2,1.00,1.00,1.00,0.75,1.50,docs/Session One State of Play.pdf,page 1,primary official,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R1426,EU type approval creates an important technical and administrative foundation for deployment,accepted_desk_review,Claim scope limited to the EU framework established by the linked source
S1-E02,S1-E02-REG,2026-06-10,Road access remains fragmented across Member States,regulation and road access,drag,-3,1.00,1.00,1.00,1.00,-3.00,session-01/track_02_session_1_summary_draft.md,lines 14-16,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,Operational access remains unpredictable across national approval regimes,accepted_desk_review,Commission Action Plan directly states that few Member States allow autonomous vehicles and that multiple approvals are required
S1-E03,S1-E03-REG,2026-06-10,Germany and France provide early national operating frameworks,regulation and road access,accelerator,1,0.90,0.90,0.60,0.75,0.36,docs/Session One State of Play.pdf,page 1,primary national law,https://www.gesetze-im-internet.de/afgbv/BJNR098610022.html,Existing national frameworks demonstrate possible operational road-access pathways with limited EU-wide coverage,accepted_desk_review,German AFGBV and the French automated-road-transport framework were independently checked
S1-E04,S1-E04-DEP,2026-06-10,Fleet-operated and geofenced L4 use cases are the most credible near-term deployment form,deployment and scalability,accelerator,1,0.85,0.80,0.80,0.75,0.41,session-01/track_02_session_1_summary_draft.md,lines 22-24,independent research,https://www.iea.org/reports/autonomous-vehicles,Centralised geofenced fleets allow continuous monitoring and avoid the handover problem associated with Level 3 systems,accepted_desk_review,IEA supports the operating model; its European relevance remains a Task Force interpretation
S1-E05,S1-E05-DEP,2026-06-10,European activity remains dominated by testing pilots and planned launches,deployment and scalability,drag,-2,0.85,0.90,0.80,1.00,-1.22,session-01/track_02_session_1_summary_draft.md,lines 26-28,independent research,https://www.iea.org/reports/autonomous-vehicles,Repeatable market-sized services remain unproven across European testing and announcements,accepted_desk_review,IEA reports European testing and a concentration of commercial robotaxi fleets in other markets
S1-E06,S1-E06-DEP,2026-06-10,European testing and announced robotaxi pilots show early operational movement,deployment and scalability,accelerator,1,0.85,0.85,0.60,1.00,0.43,docs/Session One State of Play.pdf,pages 1-2,independent research,https://www.iea.org/reports/autonomous-vehicles,Testing and announced launches indicate limited movement beyond research with scale still unproven,accepted_desk_review,Revised from a major accelerator to a marginal accelerator because announcements lack verified scaled operations
S1-E06,S1-E06-CAP,2026-06-10,Leading global robotaxi operations and several European plans rely on non-European technology providers,European capability and competitiveness,drag,-1,0.85,0.85,0.70,1.00,-0.51,docs/Session One State of Play.pdf,pages 1-2,independent research,https://www.iea.org/reports/autonomous-vehicles,Early deployment may leave control of technology data and operational learning outside Europe,accepted_desk_review,Reduced from substantial to marginal drag because the European operating evidence remains early and partly announced
S1-E07,S1-E07-DATA,2026-06-10,Vehicle-data reuse must navigate layered ePrivacy and GDPR requirements,data validation and safety assurance,drag,-2,1.00,1.00,1.00,0.75,-1.50,session-01/track_02_session_1_summary_draft.md,lines 30-32,primary official guidance,https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en,Vehicle data may require consent for access and a separate legal basis for subsequent personal-data processing,accepted_desk_review,Reworded around the verified legal condition because stakeholder uncertainty lacked official confirmation
S1-E08,S1-E08-DATA,2026-06-10,Safety standards provide a verification and validation foundation,data validation and safety assurance,accelerator,1,1.00,0.90,0.80,0.75,0.54,docs/Session One State of Play.pdf,page 1,international standard,https://www.iso.org/standard/77490.html,ISO 21448 provides a framework and guidance for design verification validation and operation-phase safety,accepted_desk_review,The source directly supports SOTIF and validation; broader standards and assets require separate sources
S1-E09,S1-E09-TECH,2026-06-10,European manufacturers and suppliers account for 45 percent of global automotive R&D investment,technology and integration readiness,accelerator,2,1.00,1.00,1.00,0.75,1.50,session-01/track_02_session_1_summary_draft.md,lines 5-8,primary official policy,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52025DC0095,The established industrial research base materially supports technical readiness,accepted_desk_review,Reworded to the quantified claim made by the Commission
